"ChEMBL ID";"Class";"SlogP";"SMR";"LabuteASA";"TPSA";"AMW";"ExactMW";"NumLipinskiHBA";"NumLipinskiHBD";"NumRotatableBonds";"NumHBD";"NumHBA";"NumAmideBonds";"NumHeteroAtoms";"NumHeavyAtoms";"NumAtoms";"NumStereocenters";"NumUnspecifiedStereocenters";"NumRings";"NumAromaticRings";"NumSaturatedRings";"NumAliphaticRings";"NumAromaticHeterocycles";"NumSaturatedHeterocycles";"NumAliphaticHeterocycles";"NumAromaticCarbocycles";"NumSaturatedCarbocycles";"NumAliphaticCarbocycles";"FractionCSP3"
"CHEMBL524";"Approved";0.5058482381363595;0.24029922467725762;0.22352055869409365;0.19340087868734865;0.1368326614258656;0.13684145892485794;0.21052631578947367;0.1764705882352941;0.19047619047619047;0.13333333333333333;0.26666666666666666;0;0.16666666666666666;0.2647058823529412;0.2727272727272727;0.13333333333333333;0.5;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.45454545454545453
"CHEMBL504760";"Approved";0.5796190328986499;0.13310939227880852;0.1036554991929623;0.051017663408948255;0;0;0.05263157894736842;0;0;0;0.06666666666666667;0;0;0.1470588235294118;0.2159090909090909;0.13333333333333333;0;0.2857142857142857;0;0.4;0.3333333333333333;0;0;0;0;0.6666666666666666;0.5;0.9
"CHEMBL640";"Approved";0.5201846257922816;0.3390273503799615;0.2971921739486127;0.17442242744851905;0.19263305042899292;0.1926155374605048;0.21052631578947367;0.1764705882352941;0.2857142857142857;0.13333333333333333;0.2;0.16666666666666666;0.16666666666666666;0.3235294117647059;0.34090909090909094;0;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.46153846153846156
"CHEMBL652";"Approved";0.637804606236553;0.46640961190738156;0.5997337160237255;0.17809856839714275;0.6076354034574445;0.6077023950216647;0.2631578947368421;0.11764705882352941;0.3333333333333333;0.13333333333333333;0.26666666666666666;0.16666666666666666;0.5555555555555555;0.6470588235294117;0.4545454545454545;0.06666666666666667;0.25;0.2857142857142857;0.25;0.2;0.16666666666666666;0;0.25;0.2;0.3333333333333333;0;0;0.5882352941176471
"CHEMBL75753";"Approved";0.43186463761980154;0.47220142989597796;0.5102426973297398;0.3087061777100331;0.43387294573661384;0.43385003976149267;0.42105263157894735;0.23529411764705882;0.38095238095238093;0.26666666666666666;0.4;0.3333333333333333;0.38888888888888884;0.5294117647058822;0.46590909090909094;0.06666666666666667;0.25;0.2857142857142857;0.25;0.2;0.16666666666666666;0;0.25;0.2;0.3333333333333333;0;0;0.5625
"CHEMBL86882";"Approved";0.5030873634823088;0.18989785577210438;0.15874754363406307;0.15687856779939624;0.06722474783185228;0.06723741208012957;0.15789473684210525;0.1764705882352941;0.19047619047619047;0.2;0.2;0;0.1111111111111111;0.20588235294117646;0.22727272727272727;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.4
"CHEMBL315838";"Approved";0.6895332049778631;0.6085852285153679;0.5930001171852961;0.12424160913356642;0.46420962585688463;0.46408387596085315;0.21052631578947367;0.058823529411764705;0.2857142857142857;0.06666666666666667;0.2;0.16666666666666666;0.16666666666666666;0.588235294117647;0.5227272727272727;0.06666666666666667;0.25;0.42857142857142855;0.5;0.2;0.16666666666666666;0;0.25;0.2;0.6666666666666666;0;0;0.4090909090909091
"CHEMBL1404";"Approved";0.5743739310710965;0.7313546739609245;0.7517349205272026;0.2219731611823425;0.6382340463511829;0.638107019963637;0.3684210526315789;0.11764705882352941;0.42857142857142855;0.13333333333333333;0.4;0.16666666666666666;0.33333333333333326;0.7352941176470589;0.6363636363636364;0.06666666666666667;0.25;0.42857142857142855;0.5;0.2;0.16666666666666666;0;0.25;0.2;0.6666666666666666;0;0;0.4583333333333333
"CHEMBL679";"Approved";0.4647543269570012;0.16716337223808653;0.14996768236569702;0.21734062584058095;0.07179634596704826;0.07182795625430777;0.21052631578947367;0.23529411764705882;0.14285714285714285;0.26666666666666666;0.26666666666666666;0;0.16666666666666666;0.20588235294117646;0.20454545454545456;0.06666666666666667;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.3333333333333333
"CHEMBL471737";"Approved";0.6304852083200333;0.8061877962906507;0.852193783669966;0.18072865297827193;0.7333960807587184;0.7332345854229376;0.3684210526315789;0;0.47619047619047616;0;0.4;0.16666666666666666;0.33333333333333326;0.8235294117647058;0.7045454545454546;0.06666666666666667;0;0.5714285714285714;0.5;0;0.3333333333333333;0;0;0.2;0.6666666666666666;0;0.25;0.5185185185185185
"CHEMBL203266";"Approved";0.5077074884104869;0.3642022369462707;0.3597880192540836;0.12839594727875908;0.2645221265813391;0.26450182950135953;0.2631578947368421;0.058823529411764705;0.23809523809523808;0.06666666666666667;0.3333333333333333;0;0.22222222222222224;0.3823529411764706;0.375;0;0;0.2857142857142857;0.25;0.2;0.16666666666666666;0;0.25;0.2;0.3333333333333333;0;0;0.5714285714285714
"CHEMBL412873";"Approved";0.5764493471903482;0.3316761079229555;0.3114330408486136;0.01936698646104187;0.1904446180559577;0.1903916280509254;0.10526315789473684;0;0;0;0.13333333333333333;0;0.05555555555555555;0.3235294117647059;0.3977272727272727;0.26666666666666666;0;0.5714285714285714;0;0.8;0.6666666666666666;0;1;0.8;0;0;0;1
"CHEMBL926";"Approved";0.6107054734760031;0.4652637237054093;0.45266318032046654;0.21734062584058095;0.34576536017563064;0.34568898330118053;0.21052631578947367;0.23529411764705882;0.3333333333333333;0.26666666666666666;0.26666666666666666;0;0.16666666666666666;0.4705882352941177;0.4204545454545454;0.06666666666666667;0.25;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.3333333333333333
"CHEMBL77622";"Approved";0.6479912816842571;0.62283028225198;0.5992005982903383;0.19283301951642304;0.4735568285349321;0.47343374344615446;0.21052631578947367;0.23529411764705882;0.6190476190476191;0.26666666666666666;0.26666666666666666;0;0.16666666666666666;0.588235294117647;0.5681818181818181;0;0;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.45454545454545453
