"ChEMBLID";"Class";"SlogP";"SMR";"LabuteASA";"TPSA";"AMW";"ExactMW";"NumLipinskiHBA";"NumLipinskiHBD";"NumRotatableBonds";"NumHBD";"NumHBA";"NumAmideBonds";"NumHeteroAtoms";"NumHeavyAtoms";"NumAtoms";"NumStereocenters";"NumUnspecifiedStereocenters";"NumRings";"NumAromaticRings";"NumSaturatedRings";"NumAliphaticRings";"NumAromaticHeterocycles";"NumSaturatedHeterocycles";"NumAliphaticHeterocycles";"NumAromaticCarbocycles";"NumSaturatedCarbocycles";"NumAliphaticCarbocycles";"FractionCSP3"
"CHEMBL926";"Approved";0.6107054734760031;0.4652637237054093;0.45266318032046654;0.21734062584058095;0.34576536017563064;0.34568898330118053;0.21052631578947367;0.23529411764705882;0.3333333333333333;0.26666666666666666;0.26666666666666666;0;0.16666666666666666;0.4705882352941177;0.4204545454545454;0.06666666666666667;0.25;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.3333333333333333
"CHEMBL521";"Approved";0.6172240497383052;0.2624746256611198;0.23092375941387372;0.11147972145013296;0.1252970263747828;0.125267682029977;0.10526315789473684;0.058823529411764705;0.19047619047619047;0.06666666666666667;0.06666666666666667;0;0.05555555555555555;0.2647058823529412;0.28409090909090906;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.46153846153846156
"CHEMBL1908307";"Approved";0.5243623387576403;0.2658984287162054;0.2518979749567945;0.13467228548372634;0.20176697368085494;0.20159864040784353;0.15789473684210525;0;0.047619047619047616;0;0.2;0;0.22222222222222224;0.29411764705882354;0.20454545454545456;0.06666666666666667;0.25;0.2857142857142857;0.5;0;0;0.3333333333333333;0;0;0.3333333333333333;0;0;0.18181818181818182
"CHEMBL79";"Approved";0.5898135485583533;0.34948589048142814;0.3029219513243208;0.096655608356496;0.1903426148521299;0.19030723848245285;0.15789473684210525;0.058823529411764705;0.23809523809523808;0.06666666666666667;0.13333333333333333;0.16666666666666666;0.1111111111111111;0.3235294117647059;0.3522727272727273;0;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.5
"CHEMBL1201319";"Approved";0.48839816628641664;0.15220752897834255;0.12199544460829237;0.1986909351743925;0.03470659010244359;0.03473066074485448;0.15789473684210525;0.23529411764705882;0.09523809523809523;0.2;0.2;0;0.1111111111111111;0.1764705882352941;0.1931818181818182;0.13333333333333333;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.3333333333333333
"CHEMBL434";"Approved";0.5083571059761458;0.23810370904296846;0.22112450573332598;0.21734062584058095;0.1368326614258656;0.13684145892485794;0.21052631578947367;0.23529411764705882;0.19047619047619047;0.26666666666666666;0.26666666666666666;0;0.16666666666666666;0.2647058823529412;0.2727272727272727;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.45454545454545453
"CHEMBL477";"Approved";0.33423719777382804;0.2756430989499113;0.31982535598008394;0.41704773005768253;0.26661782876907614;0.266667403124392;0.47368421052631576;0.29411764705882354;0.09523809523809523;0.26666666666666666;0.6;0;0.4444444444444444;0.3823529411764706;0.2727272727272727;0.26666666666666666;0;0.42857142857142855;0.5;0.2;0.16666666666666666;0.6666666666666666;0.25;0.2;0;0;0;0.5
"CHEMBL631";"Approved";0.6266435044403604;0.5640650075930509;0.5576465879017014;0.1750201739442302;0.4386462320248329;0.438534303564355;0.21052631578947367;0.11764705882352941;0.5238095238095237;0.13333333333333333;0.26666666666666666;0;0.16666666666666666;0.5588235294117647;0.5;0.06666666666666667;0.25;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.38095238095238093
"CHEMBL59";"Approved";0.4786651031043882;0.11997172243630655;0.08641703292447789;0.1986909351743925;0.002188432373034954;0.0022239094095793943;0.15789473684210525;0.23529411764705882;0.09523809523809523;0.2;0.2;0;0.1111111111111111;0.1470588235294118;0.1590909090909091;0;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.25
"CHEMBL1201234";"Approved";0.5698411685051966;0.20279217838891883;0.14072885448698075;0.0359544517170268;0.02556339383205175;0.02554957239649802;0.05263157894736842;0.058823529411764705;0.14285714285714285;0.06666666666666667;0.06666666666666667;0;0;0.1764705882352941;0.23863636363636362;0;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.45454545454545453
"CHEMBL211456";"Approved";0.5194846068637698;0.17690804247179237;0.13194899321861464;0.09641650975821152;0.03013499196724767;0.030140116570676223;0.10526315789473684;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.13333333333333333;0;0.05555555555555555;0.1764705882352941;0.2159090909090909;0.13333333333333333;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.4
"CHEMBL1306";"Withdrawn";0.69503815383168;0.8693887672152767;0.9590731675564625;0.19390896320870318;0.8814815501705066;0.8791613809829699;0.42105263157894735;0;0.38095238095238093;0;0.5333333333333333;0;0.5;0.8823529411764706;0.6704545454545454;0.13333333333333333;0;0.7142857142857142;0.75;0.4;0.3333333333333333;0.3333333333333333;0.5;0.4;0.6666666666666666;0;0;0.46153846153846156
"CHEMBL1742471";"Withdrawn";0.5599513010831816;0.6516261139296278;0.6613520421527845;0.4059296452374547;0.7538917699642288;0.7511244756759305;0.42105263157894735;0.29411764705882354;0.42857142857142855;0.2;0.4;0;0.611111111111111;0.588235294117647;0.3977272727272727;0;0;0.2857142857142857;0.5;0;0;0.3333333333333333;0;0;0.3333333333333333;0;0;0.21428571428571427
"CHEMBL2106907";"Withdrawn";0.44086968111617764;0.01257704712003177;0;0.17095549777339428;0.15939855201815645;0.15947021818094392;0.15789473684210525;0;0.047619047619047616;0;0.2;0;0.22222222222222224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"CHEMBL583";"Withdrawn";0.5728159689438005;0.5456830510197495;0.559775250183975;0.22286978092590926;0.48025890267735205;0.4802018419873298;0.3157894736842105;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.3333333333333333;0;0.33333333333333326;0.588235294117647;0.4545454545454545;0.06666666666666667;0.25;0.5714285714285714;0.5;0.4;0.3333333333333333;0.3333333333333333;0.25;0.2;0.3333333333333333;0.3333333333333333;0.25;0.47368421052631576
