"class";"fr_Al_COO";"fr_Al_OH";"fr_Al_OH_noTert";"fr_ArN";"fr_Ar_COO";"fr_Ar_N";"fr_Ar_NH";"fr_Ar_OH";"fr_COO";"fr_COO2";"fr_C_O";"fr_C_O_noCOO";"fr_C_S";"fr_HOCCN";"fr_Imine";"fr_NH0";"fr_NH1";"fr_NH2";"fr_N_O";"fr_Ndealkylation1";"fr_Ndealkylation2";"fr_Nhpyrrole";"fr_alkyl_carbamate";"fr_alkyl_halide";"fr_allylic_oxid";"fr_amide";"fr_amidine";"fr_aniline";"fr_aryl_methyl";"fr_barbitur";"fr_benzene";"fr_benzodiazepine";"fr_bicyclic";"fr_dihydropyridine";"fr_epoxide";"fr_ester";"fr_ether";"fr_furan";"fr_guanido";"fr_halogen";"fr_hdrzine";"fr_hdrzone";"fr_imidazole";"fr_imide";"fr_ketone";"fr_ketone_Topliss";"fr_lactam";"fr_lactone";"fr_methoxy";"fr_morpholine";"fr_nitrile";"fr_nitro";"fr_nitro_arom";"fr_nitro_arom_nonortho";"fr_oxazole";"fr_oxime";"fr_para_hydroxylation";"fr_phenol";"fr_phenol_noOrthoHbond";"fr_phos_acid";"fr_phos_ester";"fr_piperdine";"fr_piperzine";"fr_priamide";"fr_pyridine";"fr_quatN";"fr_sulfide";"fr_sulfonamd";"fr_sulfone";"fr_term_acetylene";"fr_tetrazole";"fr_thiazole";"fr_thiophene";"fr_unbrch_alkane";"fr_urea";"qed";"MolWt";"FractionCSP3";"HeavyAtomCount";"NumAliphaticCarbocycles";"NumAliphaticHeterocycles";"NumAliphaticRings";"NumAromaticCarbocycles";"NumAromaticHeterocycles";"NumAromaticRings";"NumHAcceptors";"NumHDonors";"NumHeteroatoms";"NumRotatableBonds";"NumSaturatedCarbocycles";"NumSaturatedHeterocycles";"NumSaturatedRings";"RingCount";"MolLogP";"MolMR"
"Approved";0;0.25;0.2857142857142857;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0.3333333333333333;0;0;0.25;0;0.2857142857142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;1;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0.846826654659122;0.48756473428650926;0.7391304347826086;0.5675675675675675;0.25;1;1;0.25;0;0.16666666666666666;0.2;0.13333333333333333;0.21052631578947367;0.14285714285714285;0.25;1;0.8333333333333334;1;0.5073260108902536;0.507397646997885
"Approved";0;0.125;0.14285714285714285;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0.2;0.3333333333333333;0;0;0;0;0;0;0;0.2;0;0;0;0;0.25;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6765194330127688;0.22897986842223347;0.4166666666666667;0.32432432432432434;0;0;0;0.25;0;0.16666666666666666;0.3333333333333333;0.2;0.3157894736842105;0.2857142857142857;0;0;0;0.14285714285714285;0.3775615252581479;0.256530972992924
"Approved";0;0;0;0.5;0;0.4;0.5;0;0;0;0;0;0;0;0;0.2;0.2;0.3333333333333333;0;0;0;0.5;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.7280409955982831;0.0784552626618918;0;0.21621621621621623;0;0;0;0;0.6666666666666666;0.3333333333333333;0.2;0.13333333333333333;0.21052631578947367;0.047619047619047616;0;0;0;0.2857142857142857;0.43628443098623415;0.17971328856974578
"Approved";0;0;0;0;0;0.2;0;0;0;0;0.2;0.2;0;0;0;0.4;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.09090909090909091;0;0.41276986030538876;0.1322509132358617;0.25;0.24324324324324326;0;0;0;0;0.3333333333333333;0.16666666666666666;0.3333333333333333;0.06666666666666667;0.3684210526315789;0.23809523809523808;0;0;0;0.14285714285714285;0.38766167043557176;0.14611146003975695
"Approved";0;0;0;0;0;0.4;0;0;0;0;0.2;0.2;0;0;0;0.8;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.726785295222796;0.20193956039024544;0.6666666666666666;0.2972972972972973;0;0.2;0.16666666666666666;0;0.3333333333333333;0.16666666666666666;0.4;0;0.42105263157894735;0.14285714285714285;0;0.25;0.16666666666666666;0.2857142857142857;0.39117920654505034;0.18491203760659497
"Approved";0;0.125;0.14285714285714285;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14285714285714285;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42518867725384;0.08728919285207817;1;0.1891891891891892;0;0.4;0.3333333333333333;0;0;0;0.4;0.06666666666666667;0.3684210526315789;0.09523809523809523;0;0.5;0.3333333333333333;0.2857142857142857;0.32451630229598344;0.06736035120207744
"Approved";0;0.125;0.14285714285714285;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.2727272727272727;0;0.47146268956419946;0.5213499735228915;0.7;0.5405405405405406;0;0;0;0.25;0;0.16666666666666666;0.26666666666666666;0.13333333333333333;0.3157894736842105;0.6666666666666666;0;0;0;0.14285714285714285;0.5892899539557939;0.5375793992527915
"Approved";0;0.125;0.14285714285714285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8210113505288168;0.13243939434736168;0.45454545454545453;0.24324324324324326;0;0;0;0.25;0;0.16666666666666666;0.26666666666666666;0.13333333333333333;0.21052631578947367;0.19047619047619047;0;0;0;0.14285714285714285;0.4394614034336608;0.20204608879766478
"Approved";0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2857142857142857;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5258137657371306;0;0.9;0.13513513513513514;0.5;0;0.3333333333333333;0;0;0;0.06666666666666667;0;0.05263157894736842;0;0.5;0;0.3333333333333333;0.2857142857142857;0.50355061943665;0.11191976223930226
"Approved";0;0;0;0.5;0;0;0;0;0;0;0.2;0.2;0;0;0;0.2;0.2;0.3333333333333333;0;0.3333333333333333;0;0;0;0;0;0.2;0;0.3333333333333333;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7640727630271906;0.1864482080831471;0.46153846153846156;0.2972972972972973;0;0;0;0.25;0;0.16666666666666666;0.2;0.13333333333333333;0.21052631578947367;0.2857142857142857;0;0;0;0.14285714285714285;0.45191630307441477;0.28505772430896076
